route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
470,,470,Wanstead Cross Country,,3,,,
478,,478,Warrens to Bridgetown ,,3,,,
476,,476,Warrens to Six Roads Via St George Church ,,3,,,
472,,472,Warrens via Six Roads to Wellhouse,,3,,,
88,,88,Wellhouse,,3,,,
87,,87,Wellhouse,,3,,,
471,,471,Wellhouse Via Six Roads to Warrens,,3,,,
16,,16,White Hill,,3,,,
179,,179,White Hill,,3,,,
49,,49,White Hill/Silver Sands,,3,,,
180,,180,Workmans,,3,,,
30,,30,Workmans,,3,,,
181,,181,Yorkshire,,3,,,
42,,42,Yorkshire,,3,,,
551,,551,Yorkshire/Edey Village ,,3,,,
550,,550,Yorkshire/Edey Village ,,3,,,
